time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.8490257201e-08,6.81490227133e-07,9.9984551592,0.000659000100058,6.28315247654,0.0,1.90414812616e-06,5.37388230608e-05,-0.0514954653485,0.0269127630032,-0.00166461778182,0.0,384.96370232586895,384.80618644909686,385.5566217222269,388.09065997166124
0.12000000000000001,1.32810529929e-06,2.55435595997e-05,10.0003070422,0.00225735294789,6.28300662697,0.0,5.5410018654e-05,0.000954294597115,0.113222948294,0.0260891737666,-0.00400933412215,0.0,456.0909676598447,455.9037352698982,457.97303568145895,457.90794865025515
0.18,9.39125152887e-06,0.000135848414767,10.0102687026,0.00382003705974,6.28258542384,0.0,0.000246556550138,0.00288334043245,0.218816876831,0.0259557222939,-0.0138483864176,0.0,439.2787829369638,438.4623789028218,438.524075742712,438.5131378754685
0.23999999999999996,4.19449143221e-05,0.000405796801579,10.0292526645,0.00566422624966,6.28170755277,0.0,0.000937664509545,0.00631380294368,0.413929912055,0.0389001848597,-0.0162445721693,0.0,465.88272213412483,465.6954787682523,466.0616190436821,467.0723364676487
0.3,0.00013789379543,0.000930152520618,10.0603108621,0.00792398265587,6.28059661758,0.0,0.00238291397036,0.011435113569,0.621251254061,0.0350655252921,-0.0234953975827,0.0,471.84834257881346,471.2884058202466,468.44526935792925,468.14763002201806
0.36000000000000004,0.000353690647113,0.00182867214046,10.1054442828,0.0102534588124,6.27901931069,0.0,0.00499710333737,0.0187944871368,0.883027791015,0.0454435355338,-0.0325581665086,0.0,487.3457202133802,486.6678584347001,484.5390654110634,485.31912398211006
0.4200000000000001,0.000751840507674,0.0031896768387,10.1624654159,0.0127809763332,6.27693607849,0.0,0.00848984289218,0.026853586496,1.01756188845,0.0344912395921,-0.0394388035076,0.0,447.92413328688565,447.36378508469437,449.88705449494154,449.0004269925225
0.48000000000000015,0.0014025584435,0.00508137272268,10.227158179,0.014975337865,6.27534249911,0.0,0.0133998965248,0.0364258485385,1.1387457532,0.0404397958966,-0.00868595098692,0.0,443.9724425564528,446.4878793195951,443.8213612056027,444.30987479329525
0.5400000000000001,0.00236348729092,0.00757288850956,10.297666367,0.0171787818844,6.27533762085,0.0,0.0186523396897,0.046851498147,1.21144861566,0.0280062740621,0.013153962829,0.0,428.5656043591646,430.41774227952465,430.03588699841043,428.9821713289467
0.6000000000000002,0.00362244558553,0.0107013040185,10.3708401905,0.0185052075068,6.2760284234,0.0,0.0232462639252,0.0575668011042,1.227659248,0.00643106481909,0.00801191224974,0.0,411.5087493602568,411.0532593123689,411.6682562159073,409.75497436014103
0.6600000000000003,0.00516773400002,0.0145536521995,10.4482240146,0.0196784365226,6.27700924631,0.0,0.0281812242327,0.0709329348688,1.35166138511,0.0376672795369,0.0292558522212,0.0,445.20422222874515,446.9387799882336,444.6533348314851,447.2046665822285
0.7200000000000003,0.0069906144081,0.0192630919589,10.5342077486,0.0223146573494,6.27856446099,0.0,0.0323948932373,0.0863191011343,1.51425664613,0.054196490457,0.0182384927679,0.0,458.6857484758607,457.81015730591434,457.4491673310092,458.7643682811383
0.7800000000000004,0.00901685335796,0.0248704626826,10.6260762141,0.0259438042852,6.27955540763,0.0,0.0350497871837,0.100911316338,1.54797254589,0.0707703523705,0.0128264729915,0.0,417.54741890506114,417.07498027161967,417.39949384600936,418.8460714453707
0.8400000000000004,0.0111850449562,0.0314250811973,10.7199985445,0.0302831576626,6.28033070713,0.0,0.0371517020946,0.117970994886,1.58271255966,0.0752575123484,0.0131113480768,0.0,418.93991682600256,418.96457626773906,417.2130036563976,417.60896808593765
0.9000000000000005,0.0134748546718,0.0392045408532,10.8198373144,0.0347318590551,6.28139697345,0.0,0.0390700494433,0.141835241793,1.74499561611,0.0718230456963,0.02575742182,0.0,458.4027853545952,459.4064432382388,458.7961851347674,458.5275470557575
0.9600000000000005,0.0158518774591,0.0484897218759,10.9286936423,0.0389917769863,6.2828071016,0.0,0.0400039918447,0.168123876727,1.88331237137,0.069297563265,0.0185604805353,0.0,452.79046040758027,452.2111871780761,451.59344434026224,451.3934798006851
1.0200000000000005,0.0182549198834,0.0593924077544,11.0445391426,0.0429073496235,0.00127085630712,0.0,0.039953151801,0.195702052198,1.97802593028,0.0556316114134,0.0410974093571,0.0,438.12420962785546,439.99407116835533,439.26615910400346,438.13465463170184
1.0800000000000005,0.0206086493361,0.0722278483979,11.1706789466,0.0462165950169,0.00369766260602,0.0,0.0382017886536,0.232537130381,2.22616237836,0.0541819135652,0.0391130282052,0.0,485.4320882047599,485.28386382094266,485.68765974422973,485.58068919136514
1.1400000000000006,0.0228247542066,0.0870347475984,11.3048462734,0.0490360723945,0.00643322828329,0.0,0.0354369965125,0.261302580576,2.2460254202,0.0259950553536,0.0561343258052,0.0,414.38166520357925,415.8765374558431,417.94940092229206,415.4869343734951
1.2000000000000006,0.0248042484743,0.103734661894,11.4426640956,0.0507858237101,0.0100594629466,0.0,0.0301884017602,0.295519085593,2.34768361677,0.0348439530296,0.0678883079739,0.0,441.91510796545253,442.8854613848723,442.45448378200285,443.18262883877657
1.2600000000000007,0.0264233799203,0.122372743802,11.5836019581,0.0527005978657,0.0141525977413,0.0,0.0234246024123,0.325923831264,2.35022315926,0.0252916540502,0.0688717232962,0.0,410.84008156954235,410.9311865320072,410.9438163057952,410.096685112774
